match_id,prob,prob_min,prob_max,model
12115,0.22740500000000002,0.10061,0.3542,final
12116,0.33453499999999997,0.19629,0.47278,final
12117,0.31693,0.17616,0.4577,final
12118,0.239195,0.09995,0.37844,final
12119,0.23144,0.11891,0.34397,final
12120,0.257735,0.12802,0.38745,final
12121,0.6576,0.43866,0.87654,final
12122,0.30142,0.16365,0.43919,final
12123,0.27307,0.14069,0.40545,final
12124,0.228925,0.12025,0.3376,final
12125,0.32327,0.17669,0.46985,final
12126,0.212305,0.09448,0.33013,final
12127,0.307575,0.15155,0.4636,final
12128,0.263435,0.1306,0.39627,final
12129,0.300105,0.17817,0.42204,final
12130,0.262605,0.12347,0.40174,final
12131,0.214745,0.05318,0.37631,final
12132,0.225685,0.11345,0.33792,final
12133,0.23070000000000002,0.12576,0.33564,final
12134,0.308985,0.1562,0.46177,final
12135,0.267685,0.12626,0.40911,final
12136,0.16628500000000002,0.06986,0.26271,final
12137,0.290065,0.15006,0.43007,final
12138,0.22443999999999997,0.09716,0.35172,final
12139,0.27626,0.10657,0.44595,final
12140,0.287805,0.12683,0.44878,final
12141,0.231125,0.11558,0.34667,final
12142,0.24752,0.10845,0.38659,final
12143,0.20349,0.10281,0.30417,final
12144,0.259555,0.13531,0.3838,final
12145,0.275325,0.15297,0.39768,final
12146,0.30277,0.14929,0.45625,final
12147,0.30629,0.17445,0.43813,final
12148,0.32684,0.16693,0.48675,final
12149,0.287945,0.16244,0.41345,final
12150,0.230315,0.12602,0.33461,final
12151,0.29125,0.14709,0.43541,final
12152,0.288665,0.16937,0.40796,final
12153,0.309905,0.16586,0.45395,final
12154,0.283335,0.1392,0.42747,final
12155,0.27461,0.14877,0.40045,final
12156,0.21633,0.10242,0.33024,final
12157,0.263795,0.14646,0.38113,final
12158,0.271545,0.13612,0.40697,final
12159,0.28490499999999996,0.12172,0.44809,final
12160,0.27998,0.13826,0.4217,final
12161,0.28889,0.13571,0.44207,final
12162,0.289895,0.12424,0.45555,final
12163,0.18228,0.08605,0.27851,final
12164,0.241435,0.11354,0.36933,final
12165,0.239035,0.1017,0.37637,final
12166,0.30525,0.15319,0.45731,final
12167,0.264005,0.15225,0.37576,final
12168,0.65839,0.42248,0.8943,final
12169,0.28172,0.14408,0.41936,final
12170,0.31711,0.15863,0.47559,final
12171,0.24624500000000002,0.11897,0.37352,final
12172,0.358345,0.20679,0.5099,final
12173,0.219545,0.1164,0.32269,final
12174,0.28909,0.15198,0.4262,final
12175,0.197395,0.08297,0.31182,final
12176,0.31565,0.18025,0.45105,final
12177,0.30135999999999996,0.16185,0.44087,final
12178,0.22801000000000002,0.09254,0.36348,final
12179,0.26263000000000003,0.13941,0.38585,final
12180,0.31162999999999996,0.1648,0.45846,final
12181,0.254105,0.13535,0.37286,final
12182,0.17123,0.02742,0.31504,final
12183,0.40221,0.17571,0.62871,final
12184,0.283775,0.15684,0.41071,final
12185,0.28872,0.15394,0.4235,final
