match_id,prob,prob_min,prob_max,model
12115,0.42704,0.18022,0.67386,of_ko
12116,0.60962,0.38279,0.83645,of_ko
12117,0.558055,0.31266,0.80345,of_ko
12118,0.436215,0.17713,0.6953,of_ko
12119,0.441945,0.20921,0.67468,of_ko
12120,0.468535,0.22224,0.71483,of_ko
12121,0.771195,0.61835,0.92404,of_ko
12122,0.53686,0.30296,0.77076,of_ko
12123,0.506175,0.25857,0.75378,of_ko
12124,0.42756500000000003,0.19703,0.6581,of_ko
12125,0.54183,0.31318,0.77048,of_ko
12126,0.4174,0.17683,0.65797,of_ko
12127,0.537955,0.28423,0.79168,of_ko
12128,0.472275,0.23339,0.71116,of_ko
12129,0.57182,0.33679,0.80685,of_ko
12130,0.474075,0.23179,0.71636,of_ko
12131,0.36606,0.13846,0.59366,of_ko
12132,0.44042,0.19589,0.68495,of_ko
12133,0.47495499999999996,0.22749,0.72242,of_ko
12134,0.55262,0.29348,0.81176,of_ko
12135,0.49587000000000003,0.2394,0.75234,of_ko
12136,0.34553,0.1176,0.57346,of_ko
12137,0.50415,0.26333,0.74497,of_ko
12138,0.42255,0.17429,0.67081,of_ko
12139,0.48761,0.20362,0.7716,of_ko
12140,0.483025,0.19228,0.77377,of_ko
12141,0.463965,0.20011,0.72782,of_ko
12142,0.471685,0.20444,0.73893,of_ko
12143,0.40577,0.18076,0.63078,of_ko
12144,0.50035,0.25411,0.74659,of_ko
12145,0.503995,0.26725,0.74074,of_ko
12146,0.521925,0.26615,0.7777,of_ko
12147,0.57945,0.33124,0.82766,of_ko
12148,0.5595,0.30039,0.81861,of_ko
12149,0.555255,0.30351,0.807,of_ko
12150,0.476805,0.23122,0.72239,of_ko
12151,0.517475,0.27098,0.76397,of_ko
12152,0.56341,0.32723,0.79959,of_ko
12153,0.54469,0.30597,0.78341,of_ko
12154,0.48414999999999997,0.25079,0.71751,of_ko
12155,0.50441,0.25558,0.75324,of_ko
12156,0.432355,0.16586,0.69885,of_ko
12157,0.50591,0.26808,0.74374,of_ko
12158,0.51339,0.26835,0.75843,of_ko
12159,0.49618,0.22109,0.77127,of_ko
12160,0.498465,0.2581,0.73883,of_ko
12161,0.49763999999999997,0.25013,0.74515,of_ko
12162,0.49299000000000004,0.21767,0.76831,of_ko
12163,0.382795,0.14861,0.61698,of_ko
12164,0.43150499999999997,0.19614,0.66687,of_ko
12165,0.449875,0.19562,0.70413,of_ko
12166,0.526185,0.27166,0.78071,of_ko
12167,0.5262450000000001,0.27537,0.77712,of_ko
12168,0.7684599999999999,0.60442,0.9325,of_ko
12169,0.51171,0.26734,0.75608,of_ko
12170,0.546685,0.28533,0.80804,of_ko
12171,0.46005,0.21817,0.70193,of_ko
12172,0.6149600000000001,0.38818,0.84174,of_ko
12173,0.43901,0.20554,0.67248,of_ko
12174,0.5534250000000001,0.28281,0.82404,of_ko
12175,0.40138,0.14351,0.65925,of_ko
12176,0.565825,0.33689,0.79476,of_ko
12177,0.562045,0.31356,0.81053,of_ko
12178,0.42522,0.14167,0.70877,of_ko
12179,0.48926000000000003,0.2644,0.71412,of_ko
12180,0.547935,0.30256,0.79331,of_ko
12181,0.50179,0.2476,0.75598,of_ko
12182,0.313295,0.10033,0.52626,of_ko
12183,0.60499,0.30995,0.90003,of_ko
12184,0.505605,0.27264,0.73857,of_ko
12185,0.51359,0.27243,0.75475,of_ko
12186,0.46760999999999997,0.19288,0.74234,of_ko
12187,0.5601,0.34056,0.77964,of_ko
12188,0.455435,0.1806,0.73027,of_ko
12189,0.57527,0.33798,0.81256,of_ko
12190,0.5092300000000001,0.24461,0.77385,of_ko
12191,0.683305,0.47004,0.89657,of_ko
12192,0.48711499999999996,0.23401,0.74022,of_ko
12193,0.44354,0.21373,0.67335,of_ko
12194,0.41508500000000004,0.17898,0.65119,of_ko
12195,0.5892649999999999,0.35429,0.82424,of_ko
12196,0.671335,0.45102,0.89165,of_ko
12197,0.456835,0.21088,0.70279,of_ko
12198,0.6096050000000001,0.38701,0.8322,of_ko
12199,0.5185850000000001,0.26442,0.77275,of_ko
12200,0.50729,0.25777,0.75681,of_ko
12201,0.45469,0.18619,0.72319,of_ko
12202,0.495635,0.25488,0.73639,of_ko
12203,0.46072,0.16613,0.75531,of_ko
12204,0.46879,0.22441,0.71317,of_ko
12205,0.52782,0.29068,0.76496,of_ko
12206,0.48223000000000005,0.23174,0.73272,of_ko
12207,0.4928,0.22267,0.76293,of_ko
12208,0.45877500000000004,0.22889,0.68866,of_ko
12209,0.52783,0.2759,0.77976,of_ko
12210,0.232375,0.06957,0.39518,of_ko
12211,0.375645,0.13367,0.61762,of_ko
12212,0.54844,0.32672,0.77016,of_ko
12213,0.45545,0.21267,0.69823,of_ko
12214,0.543295,0.24814,0.83845,of_ko
12215,0.49864,0.26151,0.73577,of_ko
12216,0.38888,0.14495,0.63281,of_ko
12217,0.579095,0.31874,0.83945,of_ko
12218,0.423505,0.14356,0.70345,of_ko
12219,0.43887000000000004,0.20418,0.67356,of_ko
12220,0.68248,0.47521,0.88975,of_ko
12221,0.562635,0.32017,0.8051,of_ko
12222,0.478995,0.21621,0.74178,of_ko
12223,0.530795,0.3017,0.75989,of_ko
12224,0.602985,0.35982,0.84615,of_ko
12225,0.5084150000000001,0.20863,0.8082,of_ko
12226,0.44655,0.16561,0.72749,of_ko
12227,0.52996,0.29254,0.76738,of_ko
12228,0.49548000000000003,0.24618,0.74478,of_ko
12229,0.46809,0.22421,0.71197,of_ko
12230,0.45754,0.21079,0.70429,of_ko
12231,0.31980000000000003,0.11231,0.52729,of_ko
12232,0.46212,0.22483,0.69941,of_ko
12233,0.388345,0.12387,0.65282,of_ko
12234,0.577835,0.32194,0.83373,of_ko
12235,0.548845,0.31934,0.77835,of_ko
12236,0.472,0.22961,0.71439,of_ko
12237,0.51529,0.24728,0.7833,of_ko
12238,0.497095,0.19186,0.80233,of_ko
12239,0.47114,0.2311,0.71118,of_ko
12240,0.58826,0.34036,0.83616,of_ko
12241,0.450565,0.19428,0.70685,of_ko
12242,0.447735,0.21194,0.68353,of_ko
12243,0.785095,0.64073,0.92946,of_ko
12244,0.42595000000000005,0.17051,0.68139,of_ko
12245,0.48272000000000004,0.20164,0.7638,of_ko
12246,0.467235,0.20569,0.72878,of_ko
12247,0.521255,0.2119,0.83061,of_ko
12248,0.35636,0.13568,0.57704,of_ko
12249,0.53163,0.2922,0.77106,of_ko
12250,0.500565,0.25296,0.74817,of_ko
12251,0.485695,0.20195,0.76944,of_ko
12252,0.42086,0.19011,0.65161,of_ko
12253,0.52569,0.24637,0.80501,of_ko
12254,0.26847,0.08711,0.44983,of_ko
12255,0.61309,0.37129,0.85489,of_ko
12256,0.588295,0.33201,0.84458,of_ko
12257,0.73079,0.54676,0.91482,of_ko
12258,0.51033,0.28041,0.74025,of_ko
12259,0.41363,0.14483,0.68243,of_ko
12260,0.58191,0.34388,0.81994,of_ko
12261,0.52549,0.25999,0.79099,of_ko
