match_id,prob,prob_min,prob_max,model
12115,0.22062,0.07494,0.3663,of_to_sc_ko
12116,0.321445,0.16007,0.48282,of_to_sc_ko
12117,0.29593,0.13355,0.45831,of_to_sc_ko
12118,0.233325,0.07483,0.39182,of_to_sc_ko
12119,0.219635,0.08832,0.35095,of_to_sc_ko
12120,0.24374,0.0947,0.39278,of_to_sc_ko
12121,0.65233,0.40645,0.89821,of_to_sc_ko
12122,0.292655,0.1318,0.45351,of_to_sc_ko
12123,0.26006,0.10655,0.41357,of_to_sc_ko
12124,0.208165,0.08037,0.33596,of_to_sc_ko
12125,0.31112,0.13885,0.48339,of_to_sc_ko
12126,0.207335,0.07342,0.34125,of_to_sc_ko
12127,0.300395,0.12464,0.47615,of_to_sc_ko
12128,0.24912,0.10026,0.39798,of_to_sc_ko
12129,0.28124,0.13269,0.42979,of_to_sc_ko
12130,0.261605,0.10275,0.42046,of_to_sc_ko
12131,0.2116,0.0363,0.3869,of_to_sc_ko
12132,0.213005,0.07852,0.34749,of_to_sc_ko
12133,0.21846,0.08752,0.3494,of_to_sc_ko
12134,0.299345,0.12554,0.47315,of_to_sc_ko
12135,0.26061,0.10017,0.42105,of_to_sc_ko
12136,0.158015,0.04717,0.26886,of_to_sc_ko
12137,0.273255,0.11498,0.43153,of_to_sc_ko
12138,0.21965,0.0733,0.366,of_to_sc_ko
12139,0.26983,0.08601,0.45365,of_to_sc_ko
12140,0.26521,0.07892,0.4515,of_to_sc_ko
12141,0.21334999999999998,0.07769,0.34901,of_to_sc_ko
12142,0.248915,0.08861,0.40922,of_to_sc_ko
12143,0.19295,0.07384,0.31206,of_to_sc_ko
12144,0.24853,0.10437,0.39269,of_to_sc_ko
12145,0.260855,0.1136,0.40811,of_to_sc_ko
12146,0.29008,0.11584,0.46432,of_to_sc_ko
12147,0.290835,0.13282,0.44885,of_to_sc_ko
12148,0.31293000000000004,0.12226,0.5036,of_to_sc_ko
12149,0.278345,0.12311,0.43358,of_to_sc_ko
12150,0.22415,0.09552,0.35278,of_to_sc_ko
12151,0.281865,0.11747,0.44626,of_to_sc_ko
12152,0.26958,0.12449,0.41467,of_to_sc_ko
12153,0.30011,0.1354,0.46482,of_to_sc_ko
12154,0.27579,0.11263,0.43895,of_to_sc_ko
12155,0.255365,0.10091,0.40982,of_to_sc_ko
12156,0.20118,0.06474,0.33762,of_to_sc_ko
12157,0.244975,0.10773,0.38222,of_to_sc_ko
12158,0.255545,0.10688,0.40421,of_to_sc_ko
12159,0.277465,0.09504,0.45989,of_to_sc_ko
12160,0.271495,0.11222,0.43077,of_to_sc_ko
12161,0.2802,0.11004,0.45036,of_to_sc_ko
12162,0.27638,0.09311,0.45965,of_to_sc_ko
12163,0.17463,0.05964,0.28962,of_to_sc_ko
12164,0.230305,0.08337,0.37724,of_to_sc_ko
12165,0.24177,0.08411,0.39943,of_to_sc_ko
12166,0.292045,0.11687,0.46722,of_to_sc_ko
12167,0.250555,0.11255,0.38856,of_to_sc_ko
12168,0.650235,0.38559,0.91488,of_to_sc_ko
12169,0.273895,0.11596,0.43183,of_to_sc_ko
12170,0.301745,0.12405,0.47944,of_to_sc_ko
12171,0.23647,0.09353,0.37941,of_to_sc_ko
12172,0.343745,0.1681,0.51939,of_to_sc_ko
12173,0.20447,0.0826,0.32634,of_to_sc_ko
12174,0.27322,0.11161,0.43483,of_to_sc_ko
12175,0.192245,0.05844,0.32605,of_to_sc_ko
12176,0.29908999999999997,0.14027,0.45791,of_to_sc_ko
12177,0.292995,0.12712,0.45887,of_to_sc_ko
12178,0.210905,0.05325,0.36856,of_to_sc_ko
12179,0.25569,0.11502,0.39636,of_to_sc_ko
12180,0.297305,0.13024,0.46437,of_to_sc_ko
12181,0.241095,0.09732,0.38487,of_to_sc_ko
12182,0.177005,0.01954,0.33447,of_to_sc_ko
12183,0.37945500000000004,0.13797,0.62094,of_to_sc_ko
12184,0.26634,0.11775,0.41493,of_to_sc_ko
12185,0.27457,0.11453,0.43461,of_to_sc_ko
12186,0.24982500000000002,0.08133,0.41832,of_to_sc_ko
12187,0.297275,0.14638,0.44817,of_to_sc_ko
12188,0.25765,0.0782,0.4371,of_to_sc_ko
12189,0.29254,0.13405,0.45103,of_to_sc_ko
12190,0.284665,0.10592,0.46341,of_to_sc_ko
12191,0.582975,0.2856,0.88035,of_to_sc_ko
12192,0.223975,0.08893,0.35902,of_to_sc_ko
12193,0.22685,0.08915,0.36455,of_to_sc_ko
12194,0.194035,0.07367,0.3144,of_to_sc_ko
12195,0.31594,0.1486,0.48328,of_to_sc_ko
12196,0.57813,0.27326,0.883,of_to_sc_ko
12197,0.213205,0.08341,0.343,of_to_sc_ko
12198,0.33208000000000004,0.16752,0.49664,of_to_sc_ko
12199,0.29051,0.11836,0.46266,of_to_sc_ko
12200,0.24884,0.09955,0.39813,of_to_sc_ko
12201,0.21865500000000002,0.07573,0.36158,of_to_sc_ko
12202,0.268015,0.11164,0.42439,of_to_sc_ko
12203,0.26344,0.06739,0.45949,of_to_sc_ko
12204,0.247135,0.09602,0.39825,of_to_sc_ko
12205,0.26768000000000003,0.11994,0.41542,of_to_sc_ko
12206,0.25804499999999997,0.09925,0.41684,of_to_sc_ko
12207,0.27860999999999997,0.09615,0.46107,of_to_sc_ko
12208,0.25266500000000003,0.10083,0.4045,of_to_sc_ko
12209,0.28059,0.11828,0.4429,of_to_sc_ko
12210,0.11579,0.01121,0.22037,of_to_sc_ko
12211,0.170495,0.05335,0.28764,of_to_sc_ko
12212,0.29059999999999997,0.13693,0.44427,of_to_sc_ko
12213,0.19916,0.08059,0.31773,of_to_sc_ko
12214,0.303135,0.10937,0.4969,of_to_sc_ko
12215,0.254935,0.10643,0.40344,of_to_sc_ko
12216,0.18958,0.05956,0.3196,of_to_sc_ko
12217,0.30635999999999997,0.12743,0.48529,of_to_sc_ko
12218,0.228,0.05711,0.39889,of_to_sc_ko
12219,0.21961000000000003,0.08568,0.35354,of_to_sc_ko
12220,0.58002,0.2886,0.87144,of_to_sc_ko
12221,0.323245,0.144,0.50249,of_to_sc_ko
12222,0.25117,0.09043,0.41191,of_to_sc_ko
12223,0.2977,0.13525,0.46015,of_to_sc_ko
12224,0.31272,0.14494,0.4805,of_to_sc_ko
12225,0.28465,0.09085,0.47845,of_to_sc_ko
12226,0.239765,0.06858,0.41095,of_to_sc_ko
12227,0.2799,0.12179,0.43801,of_to_sc_ko
12228,0.269115,0.10607,0.43216,of_to_sc_ko
12229,0.228725,0.09155,0.3659,of_to_sc_ko
12230,0.248255,0.0905,0.40601,of_to_sc_ko
12231,0.17367000000000002,0.02416,0.32318,of_to_sc_ko
12232,0.20155,0.08717,0.31593,of_to_sc_ko
12233,0.177095,0.04704,0.30715,of_to_sc_ko
12234,0.32612,0.14056,0.51168,of_to_sc_ko
12235,0.30128,0.13823,0.46433,of_to_sc_ko
12236,0.24784499999999998,0.09511,0.40058,of_to_sc_ko
12237,0.24814,0.09718,0.3991,of_to_sc_ko
12238,0.29029499999999997,0.0778,0.50279,of_to_sc_ko
12239,0.245465,0.09823,0.3927,of_to_sc_ko
12240,0.33726,0.15191,0.52261,of_to_sc_ko
12241,0.207835,0.07909,0.33658,of_to_sc_ko
12242,0.222245,0.08787,0.35662,of_to_sc_ko
12243,0.666315,0.41733,0.9153,of_to_sc_ko
12244,0.22836,0.07271,0.38401,of_to_sc_ko
12245,0.25508,0.07977,0.43039,of_to_sc_ko
12246,0.247065,0.08714,0.40699,of_to_sc_ko
12247,0.29758999999999997,0.09405,0.50113,of_to_sc_ko
12248,0.16529,0.0552,0.27538,of_to_sc_ko
12249,0.28474,0.12401,0.44547,of_to_sc_ko
12250,0.26402,0.10771,0.42033,of_to_sc_ko
12251,0.25578,0.07832,0.43324,of_to_sc_ko
12252,0.20738,0.07827,0.33649,of_to_sc_ko
12253,0.247595,0.09176,0.40343,of_to_sc_ko
12254,0.14493,0.01459,0.27527,of_to_sc_ko
12255,0.340215,0.15862,0.52181,of_to_sc_ko
12256,0.303425,0.13228,0.47457,of_to_sc_ko
12257,0.605015,0.32851,0.88152,of_to_sc_ko
12258,0.26857000000000003,0.1221,0.41504,of_to_sc_ko
12259,0.19089499999999998,0.0551,0.32669,of_to_sc_ko
12260,0.32855,0.15455,0.50255,of_to_sc_ko
12261,0.31527,0.11565,0.51489,of_to_sc_ko
12262,0.19454,0.07264,0.31644,of_to_sc_ko
12263,0.241335,0.09865,0.38402,of_to_sc_ko
12264,0.266155,0.09705,0.43526,of_to_sc_ko
12265,0.21780000000000002,0.08167,0.35393,of_to_sc_ko
12266,0.264505,0.08493,0.44408,of_to_sc_ko
12267,0.298435,0.14559,0.45128,of_to_sc_ko
12268,0.24584499999999998,0.08318,0.40851,of_to_sc_ko
12269,0.23577,0.0742,0.39734,of_to_sc_ko
12270,0.178985,0.02696,0.33101,of_to_sc_ko
12271,0.225085,0.08747,0.3627,of_to_sc_ko
12272,0.30465000000000003,0.10772,0.50158,of_to_sc_ko
12273,0.30493,0.14423,0.46563,of_to_sc_ko
12274,0.160455,0.04888,0.27203,of_to_sc_ko
12275,0.304605,0.13477,0.47444,of_to_sc_ko
12276,0.311565,0.11493,0.5082,of_to_sc_ko
12277,0.354595,0.17512,0.53407,of_to_sc_ko
12278,0.245215,0.10612,0.38431,of_to_sc_ko
12279,0.179355,0.06899,0.28972,of_to_sc_ko
12280,0.37154,0.11457,0.62851,of_to_sc_ko
12281,0.29940500000000003,0.12866,0.47015,of_to_sc_ko
12282,0.5602400000000001,0.27961,0.84087,of_to_sc_ko
12283,0.269445,0.10084,0.43805,of_to_sc_ko
12284,0.19465,0.08175,0.30755,of_to_sc_ko
12285,0.622865,0.33314,0.91259,of_to_sc_ko
12286,0.379255,0.14495,0.61356,of_to_sc_ko
12287,0.30813,0.1435,0.47276,of_to_sc_ko
12288,0.33371500000000004,0.15378,0.51365,of_to_sc_ko
12289,0.313655,0.15087,0.47644,of_to_sc_ko
12290,0.241275,0.05915,0.4234,of_to_sc_ko
12291,0.235515,0.10097,0.37006,of_to_sc_ko
12292,0.21372,0.06906,0.35838,of_to_sc_ko
12293,0.22031,0.08266,0.35796,of_to_sc_ko
12294,0.34645499999999996,0.16219,0.53072,of_to_sc_ko
12295,0.287615,0.12951,0.44572,of_to_sc_ko
12296,0.30145,0.11383,0.48907,of_to_sc_ko
12297,0.25527500000000003,0.08557,0.42498,of_to_sc_ko
12298,0.21510500000000002,0.08755,0.34266,of_to_sc_ko
12299,0.21899,0.08464,0.35334,of_to_sc_ko
12300,0.18041000000000001,0.06596,0.29486,of_to_sc_ko
12301,0.32916,0.13679,0.52153,of_to_sc_ko
12302,0.163965,0.01797,0.30996,of_to_sc_ko
12303,0.19665500000000002,0.06075,0.33256,of_to_sc_ko
12304,0.23651,0.09472,0.3783,of_to_sc_ko
12305,0.312365,0.14254,0.48219,of_to_sc_ko
12306,0.246665,0.08448,0.40885,of_to_sc_ko
12307,0.313745,0.14569,0.4818,of_to_sc_ko
12308,0.233425,0.08989,0.37696,of_to_sc_ko
12309,0.248755,0.09007,0.40744,of_to_sc_ko
12310,0.20249,0.07386,0.33112,of_to_sc_ko
12311,0.274155,0.10905,0.43926,of_to_sc_ko
12312,0.131815,0.01348,0.25015,of_to_sc_ko
12313,0.181545,0.05102,0.31207,of_to_sc_ko
12314,0.18377,0.04683,0.32071,of_to_sc_ko
12315,0.339345,0.08195,0.59674,of_to_sc_ko
12316,0.563725,0.25626,0.87119,of_to_sc_ko
12317,0.19855,0.07924,0.31786,of_to_sc_ko
12318,0.295665,0.13136,0.45997,of_to_sc_ko
12319,0.239365,0.07491,0.40382,of_to_sc_ko
12320,0.25019,0.08687,0.41351,of_to_sc_ko
12321,0.26624000000000003,0.10096,0.43152,of_to_sc_ko
12322,0.29616,0.13175,0.46057,of_to_sc_ko
12323,0.250955,0.1016,0.40031,of_to_sc_ko
12324,0.341755,0.15816,0.52535,of_to_sc_ko
12325,0.29933,0.09285,0.50581,of_to_sc_ko
12326,0.29569999999999996,0.12101,0.47039,of_to_sc_ko
12327,0.27314499999999997,0.12716,0.41913,of_to_sc_ko
12328,0.3798,0.14061,0.61899,of_to_sc_ko
12329,0.5889850000000001,0.27539,0.90258,of_to_sc_ko
12330,0.26666999999999996,0.09964,0.4337,of_to_sc_ko
12331,0.393655,0.19507,0.59224,of_to_sc_ko
12332,0.241085,0.11562,0.36655,of_to_sc_ko
12333,0.21513500000000002,0.08705,0.34322,of_to_sc_ko
12334,0.228975,0.06378,0.39417,of_to_sc_ko
12335,0.16693,0.02781,0.30605,of_to_sc_ko
12336,0.255825,0.07352,0.43813,of_to_sc_ko
12337,0.30130500000000005,0.14061,0.462,of_to_sc_ko
12338,0.201125,0.06331,0.33894,of_to_sc_ko
12339,0.27142,0.11046,0.43238,of_to_sc_ko
12340,0.309905,0.13309,0.48672,of_to_sc_ko
12341,0.337735,0.14752,0.52795,of_to_sc_ko
12342,0.11981,0.00946,0.23016,of_to_sc_ko
12343,0.18741,0.07471,0.30011,of_to_sc_ko
12344,0.28637,0.10177,0.47097,of_to_sc_ko
12345,0.297135,0.14373,0.45054,of_to_sc_ko
12346,0.26142,0.09428,0.42856,of_to_sc_ko
12347,0.18227,0.05515,0.30939,of_to_sc_ko
12348,0.26823,0.12282,0.41364,of_to_sc_ko
12349,0.187765,0.06655,0.30898,of_to_sc_ko
12350,0.209315,0.08088,0.33775,of_to_sc_ko
12351,0.3093,0.14748,0.47112,of_to_sc_ko
12352,0.176335,0.01697,0.3357,of_to_sc_ko
12353,0.34238999999999997,0.14165,0.54313,of_to_sc_ko
12354,0.188195,0.06795,0.30844,of_to_sc_ko
12355,0.3178,0.13847,0.49713,of_to_sc_ko
12356,0.291065,0.13352,0.44861,of_to_sc_ko
12357,0.33724000000000004,0.12414,0.55034,of_to_sc_ko
12358,0.190745,0.06276,0.31873,of_to_sc_ko
12359,0.5613900000000001,0.24173,0.88105,of_to_sc_ko
12360,0.27014,0.09517,0.44511,of_to_sc_ko
12361,0.260815,0.0737,0.44793,of_to_sc_ko
12362,0.28183,0.1256,0.43806,of_to_sc_ko
12363,0.21756999999999999,0.08912,0.34602,of_to_sc_ko
12364,0.26634,0.12719,0.40549,of_to_sc_ko
12365,0.265,0.0817,0.4483,of_to_sc_ko
12366,0.35291,0.17099,0.53483,of_to_sc_ko
12367,0.235695,0.08747,0.38392,of_to_sc_ko
12368,0.24471500000000002,0.10827,0.38116,of_to_sc_ko
12369,0.54625,0.23436,0.85814,of_to_sc_ko
12370,0.23311500000000002,0.09733,0.3689,of_to_sc_ko
12371,0.24307,0.07679,0.40935,of_to_sc_ko
12372,0.34355,0.16929,0.51781,of_to_sc_ko
12373,0.227175,0.09281,0.36154,of_to_sc_ko
12374,0.22576500000000002,0.09521,0.35632,of_to_sc_ko
12375,0.28173499999999996,0.10657,0.4569,of_to_sc_ko
12376,0.209985,0.07647,0.3435,of_to_sc_ko
12377,0.3036,0.13526,0.47194,of_to_sc_ko
12378,0.301105,0.13817,0.46404,of_to_sc_ko
12379,0.40898500000000004,0.16988,0.64809,of_to_sc_ko
12380,0.123155,0.0061,0.24021,of_to_sc_ko
12381,0.230465,0.08439,0.37654,of_to_sc_ko
12382,0.29107,0.1283,0.45384,of_to_sc_ko
12383,0.290855,0.139,0.44271,of_to_sc_ko
12384,0.250945,0.09103,0.41086,of_to_sc_ko
12385,0.190185,0.05885,0.32152,of_to_sc_ko
12386,0.178505,0.06287,0.29414,of_to_sc_ko
12387,0.31918,0.13358,0.50478,of_to_sc_ko
12388,0.263065,0.11021,0.41592,of_to_sc_ko
12389,0.21871000000000002,0.09156,0.34586,of_to_sc_ko
12390,0.23286,0.08376,0.38196,of_to_sc_ko
12391,0.320755,0.1454,0.49611,of_to_sc_ko
12392,0.115265,0.01175,0.21878,of_to_sc_ko
12393,0.2605,0.10139,0.41961,of_to_sc_ko
12394,0.540555,0.19541,0.8857,of_to_sc_ko
12395,0.258585,0.11623,0.40094,of_to_sc_ko
12396,0.288705,0.11776,0.45965,of_to_sc_ko
12397,0.24133,0.09819,0.38447,of_to_sc_ko
12398,0.293445,0.10891,0.47798,of_to_sc_ko
12399,0.303305,0.14753,0.45908,of_to_sc_ko
12400,0.3226,0.14371,0.50149,of_to_sc_ko
12401,0.194185,0.03237,0.356,of_to_sc_ko
12402,0.267515,0.11399,0.42104,of_to_sc_ko
12403,0.29536,0.11158,0.47914,of_to_sc_ko
12404,0.17676999999999998,0.0571,0.29644,of_to_sc_ko
12405,0.305525,0.13893,0.47212,of_to_sc_ko
12406,0.191385,0.0706,0.31217,of_to_sc_ko
12407,0.262645,0.08858,0.43671,of_to_sc_ko
12408,0.628225,0.3518,0.90465,of_to_sc_ko
12409,0.256435,0.0374,0.47547,of_to_sc_ko
12410,0.339295,0.14276,0.53583,of_to_sc_ko
12411,0.25973,0.10566,0.4138,of_to_sc_ko
12412,0.255275,0.1052,0.40535,of_to_sc_ko
12413,0.326035,0.13885,0.51322,of_to_sc_ko
12414,0.24564,0.10297,0.38831,of_to_sc_ko
12415,0.235995,0.08379,0.3882,of_to_sc_ko
12416,0.240695,0.10206,0.37933,of_to_sc_ko
12417,0.32015000000000005,0.15332,0.48698,of_to_sc_ko
12418,0.21754,0.0608,0.37428,of_to_sc_ko
12419,0.20699499999999998,0.06092,0.35307,of_to_sc_ko
12420,0.22884,0.0784,0.37928,of_to_sc_ko
12421,0.21103,0.09308,0.32898,of_to_sc_ko
12422,0.271265,0.10962,0.43291,of_to_sc_ko
12423,0.256205,0.08691,0.4255,of_to_sc_ko
12424,0.239445,0.08919,0.3897,of_to_sc_ko
12425,0.261295,0.02484,0.49775,of_to_sc_ko
12426,0.224945,0.07467,0.37522,of_to_sc_ko
12427,0.284705,0.09799,0.47142,of_to_sc_ko
12428,0.31156500000000004,0.11877,0.50436,of_to_sc_ko
12429,0.27537,0.10095,0.44979,of_to_sc_ko
12430,0.261355,0.1212,0.40151,of_to_sc_ko
12431,0.296755,0.11551,0.478,of_to_sc_ko
12432,0.198665,0.05562,0.34171,of_to_sc_ko
12433,0.299035,0.11444,0.48363,of_to_sc_ko
12434,0.25793,0.03579,0.48007,of_to_sc_ko
12435,0.35555000000000003,0.14651,0.56459,of_to_sc_ko
12436,0.332065,0.1473,0.51683,of_to_sc_ko
12437,0.263695,0.12276,0.40463,of_to_sc_ko
12438,0.281105,0.09471,0.4675,of_to_sc_ko
12439,0.231945,0.10148,0.36241,of_to_sc_ko
12440,0.287975,0.09774,0.47821,of_to_sc_ko
12441,0.24538500000000002,0.09433,0.39644,of_to_sc_ko
12442,0.299645,0.12886,0.47043,of_to_sc_ko
12443,0.24129,0.09172,0.39086,of_to_sc_ko
12444,0.29088,0.12922,0.45254,of_to_sc_ko
12445,0.343455,0.08882,0.59809,of_to_sc_ko
12446,0.389815,0.1678,0.61183,of_to_sc_ko
12447,0.50587,0.2219,0.78984,of_to_sc_ko
12448,0.183415,0.05391,0.31292,of_to_sc_ko
12449,0.184155,0.06664,0.30167,of_to_sc_ko
12450,0.305225,0.13758,0.47287,of_to_sc_ko
12451,0.26026499999999997,0.08966,0.43087,of_to_sc_ko
12452,0.153075,0.01943,0.28672,of_to_sc_ko
12453,0.20514,0.05798,0.3523,of_to_sc_ko
12454,0.304005,0.14201,0.466,of_to_sc_ko
12455,0.18189,0.04745,0.31633,of_to_sc_ko
12456,0.30504,0.11859,0.49149,of_to_sc_ko
12457,0.279455,0.11431,0.4446,of_to_sc_ko
12458,0.24868,0.08477,0.41259,of_to_sc_ko
12459,0.277815,0.10099,0.45464,of_to_sc_ko
12460,0.29144000000000003,0.12898,0.4539,of_to_sc_ko
12461,0.298045,0.10468,0.49141,of_to_sc_ko
12462,0.313085,0.13748,0.48869,of_to_sc_ko
12463,0.29208,0.11875,0.46541,of_to_sc_ko
12464,0.24658,0.09008,0.40308,of_to_sc_ko
12465,0.281885,0.11262,0.45115,of_to_sc_ko
12466,0.618635,0.3236,0.91367,of_to_sc_ko
12467,0.29803999999999997,0.10507,0.49101,of_to_sc_ko
12468,0.197495,0.07381,0.32118,of_to_sc_ko
12469,0.40865,0.18545,0.63185,of_to_sc_ko
12470,0.23367,0.09969,0.36765,of_to_sc_ko
12471,0.29219,0.13046,0.45392,of_to_sc_ko
12472,0.21773499999999998,0.07193,0.36354,of_to_sc_ko
12473,0.29668500000000003,0.09323,0.50014,of_to_sc_ko
12474,0.26714,0.08584,0.44844,of_to_sc_ko
12475,0.18946000000000002,0.06568,0.31324,of_to_sc_ko
12476,0.19256,0.06988,0.31524,of_to_sc_ko
12477,0.269685,0.10164,0.43773,of_to_sc_ko
12478,0.2746,0.1112,0.438,of_to_sc_ko
12479,0.27429000000000003,0.11135,0.43723,of_to_sc_ko
12480,0.305925,0.1414,0.47045,of_to_sc_ko
12481,0.22568500000000002,0.07407,0.3773,of_to_sc_ko
12482,0.23835499999999998,0.10061,0.3761,of_to_sc_ko
12483,0.243615,0.09709,0.39014,of_to_sc_ko
12484,0.277725,0.12566,0.42979,of_to_sc_ko
12485,0.3136,0.15569,0.47151,of_to_sc_ko
12486,0.33335,0.14847,0.51823,of_to_sc_ko
12487,0.309075,0.10182,0.51633,of_to_sc_ko
12488,0.21056,0.07,0.35112,of_to_sc_ko
12489,0.26839,0.11245,0.42433,of_to_sc_ko
12490,0.316745,0.13659,0.4969,of_to_sc_ko
12491,0.192985,0.05194,0.33403,of_to_sc_ko
12492,0.38083,0.16157,0.60009,of_to_sc_ko
12493,0.34713,0.14929,0.54497,of_to_sc_ko
12494,0.292145,0.10213,0.48216,of_to_sc_ko
14040,0.26284,0.09961,0.42607,of_to_sc_ko
14041,0.17921,0.04559,0.31283,of_to_sc_ko
14042,0.25496,0.10723,0.40269,of_to_sc_ko
14043,0.284055,0.1374,0.43071,of_to_sc_ko
14044,0.196985,0.06129,0.33268,of_to_sc_ko
14045,0.1687,0.05271,0.28469,of_to_sc_ko
14046,0.22548500000000002,0.05785,0.39312,of_to_sc_ko
14047,0.30715,0.12121,0.49309,of_to_sc_ko
14048,0.291945,0.13131,0.45258,of_to_sc_ko
14049,0.20791,0.05714,0.35868,of_to_sc_ko
14050,0.21262,0.0861,0.33914,of_to_sc_ko
14051,0.25434,0.0939,0.41478,of_to_sc_ko
14052,0.32952,0.13703,0.52201,of_to_sc_ko
14053,0.275745,0.08487,0.46662,of_to_sc_ko
14054,0.26381499999999997,0.10453,0.4231,of_to_sc_ko
14055,0.313975,0.08497,0.54298,of_to_sc_ko
14056,0.351605,0.16256,0.54065,of_to_sc_ko
14057,0.1972,0.07793,0.31647,of_to_sc_ko
14058,0.280375,0.11658,0.44417,of_to_sc_ko
14059,0.325965,0.13425,0.51768,of_to_sc_ko
14060,0.30088499999999996,0.14747,0.4543,of_to_sc_ko
14061,0.31862500000000005,0.12399,0.51326,of_to_sc_ko
14062,0.27519,0.11479,0.43559,of_to_sc_ko
14063,0.170925,0.04469,0.29716,of_to_sc_ko
14064,0.308555,0.12888,0.48823,of_to_sc_ko
14065,0.24294500000000002,0.07035,0.41554,of_to_sc_ko
14066,0.30116,0.09356,0.50876,of_to_sc_ko
14067,0.288495,0.1286,0.44839,of_to_sc_ko
14068,0.24081,0.09898,0.38264,of_to_sc_ko
14069,0.298835,0.14044,0.45723,of_to_sc_ko
14070,0.29276,0.12219,0.46333,of_to_sc_ko
14071,0.21306,0.06738,0.35874,of_to_sc_ko
