match_id,away_prob,away_prob_min,away_prob_max,model
12115,0.327615,0.18016,0.47507,final
12116,0.19713,0.09718,0.29708,final
12117,0.227255,0.10414,0.35037,final
12118,0.337465,0.17262,0.50231,final
12119,0.32492,0.17937,0.47047,final
12120,0.29498,0.14828,0.44168,final
12121,0.113075,0.02319,0.20296,final
12122,0.25082,0.12643,0.37521,final
12123,0.26073999999999997,0.13399,0.38749,final
12124,0.31201,0.17676,0.44726,final
12125,0.25103,0.12849,0.37357,final
12126,0.33751,0.18566,0.48936,final
12127,0.255845,0.11609,0.3956,final
12128,0.289605,0.15147,0.42774,final
12129,0.20312000000000002,0.10782,0.29842,final
12130,0.311105,0.16221,0.46,final
12131,0.52402,0.25996,0.78808,final
12132,0.297975,0.16823,0.42772,final
12133,0.262525,0.15574,0.36931,final
12134,0.24131,0.10653,0.37609,final
12135,0.274995,0.13607,0.41392,final
12136,0.388,0.22985,0.54615,final
12137,0.281205,0.13619,0.42622,final
12138,0.33532,0.1776,0.49304,final
12139,0.295425,0.12538,0.46547,final
12140,0.28028,0.12275,0.43781,final
12141,0.27397,0.14279,0.40515,final
12142,0.31539,0.15597,0.47481,final
12143,0.33375,0.19591,0.47159,final
12144,0.26981,0.15312,0.3865,final
12145,0.27001,0.14569,0.39433,final
12146,0.268515,0.12276,0.41427,final
12147,0.208055,0.10389,0.31222,final
12148,0.23254999999999998,0.10838,0.35672,final
12149,0.230615,0.125,0.33623,final
12150,0.289105,0.15933,0.41888,final
12151,0.26389,0.12939,0.39839,final
12152,0.20614,0.1141,0.29818,final
12153,0.255575,0.11882,0.39233,final
12154,0.29525,0.15445,0.43605,final
12155,0.246175,0.13631,0.35604,final
12156,0.29676,0.16149,0.43203,final
12157,0.252195,0.13507,0.36932,final
12158,0.24505,0.12876,0.36134,final
12159,0.291065,0.12416,0.45797,final
12160,0.285505,0.14509,0.42592,final
12161,0.28853,0.13772,0.43934,final
12162,0.29098,0.12448,0.45748,final
12163,0.35183,0.20499,0.49867,final
12164,0.335235,0.18205,0.48842,final
12165,0.333185,0.17573,0.49064,final
12166,0.258975,0.11967,0.39828,final
12167,0.24988500000000002,0.13285,0.36692,final
12168,0.11209000000000001,0.01819,0.20599,final
12169,0.27780499999999997,0.13738,0.41823,final
12170,0.25249,0.10839,0.39659,final
12171,0.30311,0.15946,0.44676,final
12172,0.20629999999999998,0.08879,0.32381,final
12173,0.302255,0.16767,0.43684,final
12174,0.22365500000000002,0.10681,0.3405,final
12175,0.357805,0.19501,0.5206,final
12176,0.23295,0.11373,0.35217,final
12177,0.220155,0.11132,0.32899,final
12178,0.29524,0.15569,0.43479,final
12179,0.2924,0.15957,0.42523,final
12180,0.24363,0.11485,0.37241,final
12181,0.25026000000000004,0.14065,0.35987,final
12182,0.59774,0.32539,0.87009,final
12183,0.216995,0.05034,0.38365,final
12184,0.27389,0.14297,0.40481,final
12185,0.26137,0.13738,0.38536,final
12186,0.30718,0.13901,0.47535,final
12187,0.227345,0.12377,0.33092,final
12188,0.327345,0.157,0.49769,final
12189,0.20248,0.10644,0.29852,final
12190,0.27763499999999997,0.12417,0.4311,final
12191,0.173515,0.02977,0.31726,final
12192,0.24653999999999998,0.13514,0.35794,final
12193,0.29638,0.16645,0.42631,final
12194,0.32024,0.18093,0.45955,final
12195,0.211125,0.09726,0.32499,final
12196,0.19031,0.03054,0.35008,final
12197,0.28015,0.15233,0.40797,final
12198,0.19797,0.09698,0.29896,final
12199,0.2839,0.12763,0.44017,final
12200,0.23732,0.12689,0.34775,final
12201,0.30688499999999996,0.15514,0.45863,final
12202,0.283685,0.13973,0.42764,final
12203,0.302695,0.13268,0.47271,final
12204,0.294165,0.15285,0.43548,final
12205,0.245805,0.13194,0.35967,final
12206,0.302755,0.15286,0.45265,final
12207,0.30041,0.13561,0.46521,final
12208,0.321105,0.17167,0.47054,final
12209,0.256045,0.12148,0.39061,final
12210,0.668075,0.43516,0.90099,final
12211,0.354675,0.19989,0.50946,final
12212,0.2479,0.12761,0.36819,final
12213,0.270195,0.15732,0.38307,final
12214,0.269685,0.10246,0.43691,final
12215,0.26151,0.14539,0.37763,final
12216,0.360595,0.19478,0.52641,final
12217,0.20368999999999998,0.09346,0.31392,final
12218,0.329035,0.16372,0.49435,final
12219,0.30630999999999997,0.16965,0.44297,final
12220,0.174485,0.03173,0.31724,final
12221,0.240695,0.10716,0.37423,final
12222,0.289165,0.14215,0.43618,final
12223,0.26409,0.13249,0.39569,final
12224,0.188525,0.08656,0.29049,final
12225,0.296455,0.11268,0.48023,final
12226,0.31755,0.14987,0.48523,final
12227,0.24095499999999997,0.1294,0.35251,final
12228,0.28849,0.14255,0.43443,final
12229,0.287845,0.15649,0.4192,final
12230,0.31289500000000003,0.16458,0.46121,final
12231,0.579635,0.30926,0.85001,final
12232,0.27324000000000004,0.16036,0.38612,final
12233,0.31488499999999997,0.1779,0.45187,final
12234,0.23920999999999998,0.09816,0.38026,final
12235,0.236655,0.12214,0.35117,final
12236,0.286065,0.15534,0.41679,final
12237,0.25144,0.13722,0.36566,final
12238,0.27523,0.10891,0.44155,final
12239,0.30011,0.16009,0.44013,final
12240,0.223375,0.09146,0.35529,final
12241,0.30635500000000004,0.15981,0.4529,final
12242,0.30555,0.16687,0.44423,final
12243,0.09923000000000001,0.01711,0.18135,final
12244,0.345385,0.17505,0.51572,final
12245,0.26548499999999997,0.13085,0.40012,final
12246,0.307435,0.14424,0.47063,final
12247,0.29923,0.1068,0.49166,final
