match_id,home_prob,home_prob_min,home_prob_max,model
12115,0.48475999999999997,0.32786,0.64166,final
12116,0.49787000000000003,0.3676,0.62814,final
12117,0.491975,0.34604,0.63791,final
12118,0.46947,0.30662,0.63232,final
12119,0.47734,0.3327,0.62198,final
12120,0.48651,0.32914,0.64388,final
12121,0.270205,0.07596,0.46445,final
12122,0.48294499999999996,0.3321,0.63379,final
12123,0.50173,0.35545,0.64801,final
12124,0.49087000000000003,0.35613,0.62561,final
12125,0.463255,0.31265,0.61386,final
12126,0.48712500000000003,0.33537,0.63888,final
12127,0.48082,0.31198,0.64966,final
12128,0.48553500000000005,0.34208,0.62899,final
12129,0.52265,0.39424,0.65106,final
12130,0.47019,0.31131,0.62907,final
12131,0.33591499999999996,0.10205,0.56978,final
12132,0.5079,0.37142,0.64438,final
12133,0.53177,0.40873,0.65481,final
12134,0.4935,0.33323,0.65377,final
12135,0.49922500000000003,0.34286,0.65559,final
12136,0.47866,0.33662,0.6207,final
12137,0.470515,0.31433,0.6267,final
12138,0.481755,0.31843,0.64508,final
12139,0.487355,0.3209,0.65381,final
12140,0.48419,0.29564,0.67274,final
12141,0.528185,0.39316,0.66321,final
12142,0.4877,0.31971,0.65569,final
12143,0.49218,0.35331,0.63105,final
12144,0.512725,0.38191,0.64354,final
12145,0.48741,0.34017,0.63465,final
12146,0.473995,0.31143,0.63656,final
12147,0.51656,0.38349,0.64963,final
12148,0.48546,0.31718,0.65374,final
12149,0.50996,0.37339,0.64653,final
12150,0.509915,0.37044,0.64939,final
12151,0.484975,0.32714,0.64281,final
12152,0.52942,0.40476,0.65408,final
12153,0.47602,0.3144,0.63764,final
12154,0.46284000000000003,0.31646,0.60922,final
12155,0.50916,0.37433,0.64399,final
12156,0.520895,0.38146,0.66033,final
12157,0.514975,0.37802,0.65193,final
12158,0.5290900000000001,0.39089,0.66729,final
12159,0.47862499999999997,0.30193,0.65532,final
12160,0.47629999999999995,0.32935,0.62325,final
12161,0.46868999999999994,0.30376,0.63362,final
12162,0.47404999999999997,0.30444,0.64366,final
12163,0.495985,0.35637,0.6356,final
12164,0.46316999999999997,0.30653,0.61981,final
12165,0.471665,0.31076,0.63257,final
12166,0.47844,0.31886,0.63802,final
12167,0.51461,0.38573,0.64349,final
12168,0.276215,0.07034,0.48209,final
12169,0.48121,0.32873,0.63369,final
12170,0.47672000000000003,0.31757,0.63587,final
12171,0.48922,0.34779,0.63065,final
12172,0.47877000000000003,0.32673,0.63081,final
12173,0.509715,0.36968,0.64975,final
12174,0.52428,0.38397,0.66459,final
12175,0.483645,0.32791,0.63938,final
12176,0.49623500000000004,0.35243,0.64004,final
12177,0.511125,0.37085,0.6514,final
12178,0.5171250000000001,0.35454,0.67971,final
12179,0.479565,0.33666,0.62247,final
12180,0.483575,0.32966,0.63749,final
12181,0.5247850000000001,0.39405,0.65552,final
12182,0.304415,0.07527,0.53356,final
12183,0.45698000000000005,0.27038,0.64358,final
12184,0.476175,0.33263,0.61972,final
12185,0.484935,0.3435,0.62637,final
12186,0.490455,0.31729,0.66362,final
12187,0.491865,0.35571,0.62802,final
12188,0.46614,0.28598,0.6463,final
12189,0.51735,0.38247,0.65223,final
12190,0.47583,0.30443,0.64723,final
12191,0.30999499999999997,0.08205,0.53794,final
12192,0.5329900000000001,0.40979,0.65619,final
12193,0.50328,0.36619,0.64037,final
12194,0.5021,0.37162,0.63258,final
12195,0.491275,0.35007,0.63248,final
12196,0.310525,0.07831,0.54274,final
12197,0.5185649999999999,0.38814,0.64899,final
12198,0.49039,0.34816,0.63262,final
12199,0.46214999999999995,0.29507,0.62923,final
12200,0.53532,0.40086,0.66978,final
12201,0.507425,0.35259,0.66226,final
12202,0.47697,0.31671,0.63723,final
12203,0.477715,0.27931,0.67612,final
12204,0.48706499999999997,0.34329,0.63084,final
12205,0.505085,0.37552,0.63465,final
12206,0.477685,0.32981,0.62556,final
12207,0.46591499999999997,0.29363,0.6382,final
12208,0.46152,0.30235,0.62069,final
12209,0.492625,0.33785,0.6474,final
12210,0.26622,0.0652,0.46724,final
12211,0.502625,0.35969,0.64556,final
12212,0.49607999999999997,0.34837,0.64379,final
12213,0.54083,0.42425,0.65741,final
12214,0.485645,0.28934,0.68195,final
12215,0.5105,0.37536,0.64564,final
12216,0.47885500000000003,0.32906,0.62865,final
12217,0.511595,0.35337,0.66982,final
12218,0.481005,0.29764,0.66437,final
12219,0.49419500000000005,0.36018,0.62821,final
12220,0.309635,0.0864,0.53287,final
12221,0.46036,0.30141,0.61931,final
12222,0.49639,0.34357,0.64921,final
12223,0.4689,0.30897,0.62883,final
12224,0.50755,0.37289,0.64221,final
12225,0.47894,0.26891,0.68897,final
12226,0.48246500000000003,0.31081,0.65412,final
12227,0.505565,0.36307,0.64806,final
12228,0.478925,0.32277,0.63508,final
12229,0.501105,0.36123,0.64098,final
12230,0.477995,0.32013,0.63586,final
12231,0.31731000000000004,0.08818,0.54644,final
12232,0.532885,0.41342,0.65235,final
12233,0.517935,0.3745,0.66137,final
12234,0.47645499999999996,0.31363,0.63928,final
12235,0.48099500000000006,0.33883,0.62316,final
12236,0.49046999999999996,0.34862,0.63232,final
12237,0.531225,0.39707,0.66538,final
12238,0.47723,0.27688,0.67758,final
12239,0.48327,0.33236,0.63418,final
12240,0.474665,0.30934,0.63999,final
12241,0.510425,0.36023,0.66062,final
12242,0.49494499999999997,0.34876,0.64113,final
12243,0.26401,0.06918,0.45884,final
12244,0.47018000000000004,0.30105,0.63931,final
12245,0.49800500000000003,0.33105,0.66496,final
12246,0.48195,0.31524,0.64866,final
12247,0.47372000000000003,0.26533,0.68211,final
12248,0.47777000000000003,0.33554,0.62,final
12249,0.492445,0.34333,0.64156,final
12250,0.49175,0.33783,0.64567,final
12251,0.5102800000000001,0.33909,0.68147,final
12252,0.487405,0.34698,0.62783,final
12253,0.535145,0.40063,0.66966,final
12254,0.271465,0.06289,0.48004,final
12255,0.48722,0.34,0.63444,final
12256,0.514025,0.36766,0.66039,final
12257,0.305105,0.08472,0.52549,final
12258,0.480525,0.33482,0.62623,final
12259,0.523795,0.38433,0.66326,final
12260,0.46674000000000004,0.31863,0.61485,final
12261,0.459785,0.28067,0.6389,final
12262,0.5014649999999999,0.35755,0.64538,final
12263,0.474015,0.32238,0.62565,final
12264,0.47780999999999996,0.32137,0.63425,final
12265,0.51789,0.37206,0.66372,final
12266,0.45267999999999997,0.27369,0.63167,final
12267,0.52246,0.37767,0.66725,final
12268,0.47039,0.29773,0.64305,final
12269,0.47653999999999996,0.30758,0.6455,final
12270,0.320215,0.08103,0.5594,final
12271,0.50119,0.36443,0.63795,final
12272,0.49247,0.32777,0.65717,final
12273,0.490845,0.35097,0.63072,final
12274,0.47814500000000004,0.33578,0.62051,final
12275,0.51424,0.36522,0.66326,final
12276,0.475425,0.31622,0.63463,final
12277,0.46838,0.32101,0.61575,final
12278,0.46282500000000004,0.31678,0.60887,final
12279,0.4746,0.32594,0.62326,final
12280,0.470355,0.271,0.66971,final
12281,0.48158500000000004,0.31488,0.64829,final
12282,0.316815,0.09574,0.53789,final
12283,0.479255,0.315,0.64351,final
12284,0.53361,0.41453,0.65269,final
12285,0.29229499999999997,0.07536,0.50923,final
12286,0.466785,0.27719,0.65638,final
12287,0.50187,0.36209,0.64165,final
12288,0.476935,0.32231,0.63156,final
12289,0.50451,0.36559,0.64343,final
12290,0.49929,0.29593,0.70265,final
12291,0.50293,0.36443,0.64143,final
12292,0.5230049999999999,0.3827,0.66331,final
12293,0.46480999999999995,0.32327,0.60635,final
12294,0.485705,0.33241,0.639,final
12295,0.50312,0.35887,0.64737,final
12296,0.479355,0.30128,0.65743,final
12297,0.511125,0.35647,0.66578,final
12298,0.540585,0.42319,0.65798,final
12299,0.45257500000000006,0.30031,0.60484,final
12300,0.500055,0.36248,0.63763,final
