match_id,away_prob,away_prob_min,away_prob_max,model
12115,0.601735,0.36016,0.84331,of
12116,0.42053,0.18884,0.65222,of
12117,0.46917,0.21891,0.71943,of
12118,0.595585,0.34084,0.85033,of
12119,0.588935,0.35752,0.82035,of
12120,0.560105,0.31403,0.80618,of
12121,0.26861,0.10191,0.43531,of
12122,0.49261,0.25728,0.72794,of
12123,0.5218400000000001,0.27466,0.76902,of
12124,0.601875,0.37557,0.82818,of
12125,0.49297,0.26284,0.7231,of
12126,0.60954,0.3731,0.84598,of
12127,0.49236,0.23668,0.74804,of
12128,0.558955,0.32107,0.79684,of
12129,0.45259,0.21456,0.69062,of
12130,0.55806,0.31739,0.79873,of
12131,0.685045,0.46439,0.9057,of
12132,0.586365,0.3454,0.82733,of
12133,0.5495950000000001,0.30396,0.79523,of
12134,0.47482,0.21297,0.73667,of
12135,0.5310250000000001,0.27554,0.78651,of
12136,0.68133,0.46036,0.9023,of
12137,0.5285599999999999,0.28689,0.77023,of
12138,0.606425,0.36232,0.85053,of
12139,0.54252,0.26269,0.82235,of
12140,0.5421199999999999,0.25371,0.83053,of
12141,0.55855,0.29707,0.82003,of
12142,0.555105,0.28787,0.82234,of
12143,0.62288,0.40248,0.84328,of
12144,0.52625,0.27892,0.77358,of
12145,0.524515,0.28717,0.76186,of
12146,0.510085,0.25231,0.76786,of
12147,0.445415,0.1925,0.69833,of
12148,0.46527999999999997,0.20524,0.72532,of
12149,0.46971,0.21546,0.72396,of
12150,0.5485949999999999,0.30169,0.7955,of
12151,0.5115099999999999,0.26369,0.75933,of
12152,0.45891,0.22104,0.69678,of
12153,0.48668500000000003,0.24382,0.72955,of
12154,0.553905,0.32121,0.7866,of
12155,0.522015,0.27462,0.76941,of
12156,0.591045,0.3292,0.85289,of
12157,0.5203099999999999,0.28178,0.75884,of
12158,0.512865,0.2673,0.75843,of
12159,0.53354,0.2577,0.80938,of
12160,0.5377350000000001,0.29925,0.77622,of
12161,0.534185,0.28822,0.78015,of
12162,0.53866,0.26417,0.81315,of
12163,0.6437,0.41382,0.87358,of
12164,0.600845,0.37048,0.83121,of
12165,0.58008,0.32915,0.83101,of
12166,0.50578,0.25053,0.76103,of
12167,0.50115,0.24657,0.75573,of
12168,0.271985,0.09345,0.45052,of
12169,0.519465,0.27373,0.7652,of
12170,0.484475,0.21874,0.75021,of
12171,0.571895,0.33123,0.81256,of
12172,0.41264,0.18052,0.64476,of
12173,0.58778,0.35596,0.8196,of
12174,0.47049,0.1966,0.74438,of
12175,0.62591,0.37233,0.87949,of
12176,0.4615,0.23034,0.69266,of
12177,0.46373000000000003,0.2126,0.71486,of
12178,0.597875,0.32195,0.8738,of
12179,0.543885,0.31871,0.76906,of
12180,0.48276,0.23485,0.73067,of
12181,0.523505,0.26966,0.77735,of
12182,0.73428,0.53296,0.9356,of
12183,0.42275,0.11687,0.72863,of
12184,0.5258400000000001,0.29232,0.75936,of
12185,0.51551,0.27522,0.7558,of
12186,0.55853,0.28589,0.83117,of
12187,0.46891,0.24705,0.69077,of
12188,0.573595,0.30294,0.84425,of
12189,0.448685,0.20929,0.68808,of
12190,0.5201,0.25454,0.78566,of
12191,0.368235,0.14108,0.59539,of
12192,0.537725,0.28599,0.78946,of
12193,0.583585,0.35585,0.81132,of
12194,0.614735,0.38127,0.8482,of
12195,0.43893,0.1996,0.67826,of
12196,0.381425,0.1481,0.61475,of
12197,0.568005,0.32353,0.81248,of
12198,0.41817,0.18997,0.64637,of
12199,0.513565,0.25581,0.77132,of
12200,0.51728,0.26814,0.76642,of
12201,0.56976,0.3029,0.83662,of
12202,0.534565,0.29307,0.77606,of
12203,0.5645,0.27496,0.85404,of
12204,0.56325,0.32081,0.80569,of
12205,0.500675,0.26148,0.73987,of
12206,0.55159,0.30379,0.79939,of
12207,0.538325,0.26787,0.80878,of
