match_id,home_prob,home_prob_min,home_prob_max,model
12115,0.39823000000000003,0.15666,0.6398,of
12116,0.5794199999999999,0.34772,0.81112,of
12117,0.53079,0.28053,0.78105,of
12118,0.40438,0.14964,0.65912,of
12119,0.411025,0.17962,0.64243,of
12120,0.43985,0.19377,0.68593,of
12121,0.731375,0.56467,0.89808,of
12122,0.50735,0.27202,0.74268,of
12123,0.47811,0.23093,0.72529,of
12124,0.39808,0.17178,0.62438,of
12125,0.506995,0.27687,0.73712,of
12126,0.39042499999999997,0.15399,0.62686,of
12127,0.5075999999999999,0.25192,0.76328,of
12128,0.441015,0.20313,0.6789,of
12129,0.5473600000000001,0.30933,0.78539,of
12130,0.441905,0.20124,0.68257,of
12131,0.31494999999999995,0.0943,0.5356,of
12132,0.41359500000000005,0.17263,0.65456,of
12133,0.450355,0.20472,0.69599,of
12134,0.5251399999999999,0.26329,0.78699,of
12135,0.46893,0.21345,0.72441,of
12136,0.318635,0.09767,0.5396,of
12137,0.471405,0.22973,0.71308,of
12138,0.39354,0.14944,0.63764,of
12139,0.45743999999999996,0.17761,0.73727,of
12140,0.45783999999999997,0.16943,0.74625,of
12141,0.441405,0.17993,0.70288,of
12142,0.44486000000000003,0.17763,0.71209,of
12143,0.37708,0.15668,0.59748,of
12144,0.473705,0.22637,0.72104,of
12145,0.475445,0.2381,0.71279,of
12146,0.48988,0.2321,0.74766,of
12147,0.554545,0.30163,0.80746,of
12148,0.5346850000000001,0.27464,0.79473,of
12149,0.530245,0.27599,0.7845,of
12150,0.45136,0.20446,0.69826,of
12151,0.48845,0.24063,0.73627,of
12152,0.541045,0.30317,0.77892,of
12153,0.513275,0.27041,0.75614,of
12154,0.44606,0.21337,0.67875,of
12155,0.47794,0.23054,0.72534,of
12156,0.40890499999999996,0.14706,0.67075,of
12157,0.47963999999999996,0.24111,0.71817,of
12158,0.48709,0.24152,0.73266,of
12159,0.466425,0.19058,0.74227,of
12160,0.462225,0.22374,0.70071,of
12161,0.46578,0.21982,0.71174,of
12162,0.461305,0.18682,0.73579,of
12163,0.356255,0.12638,0.58613,of
12164,0.39913,0.16877,0.62949,of
12165,0.419885,0.16896,0.67081,of
12166,0.49418,0.23893,0.74943,of
12167,0.49880500000000005,0.24423,0.75338,of
12168,0.728,0.54946,0.90654,of
12169,0.480495,0.23477,0.72622,of
12170,0.51549,0.24976,0.78122,of
12171,0.428065,0.18741,0.66872,of
12172,0.587325,0.3552,0.81945,of
12173,0.41217499999999996,0.18036,0.64399,of
12174,0.52946,0.25557,0.80335,of
12175,0.374055,0.12048,0.62763,of
12176,0.53845,0.30729,0.76961,of
12177,0.536225,0.28509,0.78736,of
12178,0.402075,0.12615,0.678,of
12179,0.45608000000000004,0.23091,0.68125,of
12180,0.5172049999999999,0.2693,0.76511,of
12181,0.476445,0.2226,0.73029,of
12182,0.265715,0.0644,0.46703,of
12183,0.577215,0.27133,0.8831,of
12184,0.474115,0.2406,0.70763,of
12185,0.48445000000000005,0.24416,0.72474,of
12186,0.44143,0.16879,0.71407,of
12187,0.531055,0.30919,0.75292,of
12188,0.426375,0.15572,0.69703,of
12189,0.5512699999999999,0.31187,0.79067,of
12190,0.479865,0.2143,0.74543,of
12191,0.63175,0.40459,0.85891,of
12192,0.462225,0.21049,0.71396,of
12193,0.416375,0.18864,0.64411,of
12194,0.385225,0.15177,0.61868,of
12195,0.5610299999999999,0.3217,0.80036,of
12196,0.61856,0.38523,0.85189,of
12197,0.43195,0.18748,0.67642,of
12198,0.581785,0.35358,0.80999,of
12199,0.4864,0.22865,0.74415,of
12200,0.48267499999999997,0.23354,0.73181,of
12201,0.430205,0.16335,0.69706,of
12202,0.4654,0.2239,0.7069,of
12203,0.435465,0.14592,0.72501,of
12204,0.43671000000000004,0.19427,0.67915,of
12205,0.49927499999999997,0.26008,0.73847,of
12206,0.44837499999999997,0.20058,0.69617,of
12207,0.46164499999999997,0.19119,0.7321,of
12208,0.42477,0.19754,0.652,of
12209,0.50023,0.24585,0.75461,of
12210,0.190335,0.04364,0.33703,of
12211,0.351325,0.11528,0.58737,of
12212,0.5195350000000001,0.29662,0.74245,of
12213,0.432205,0.19153,0.67288,of
12214,0.51855,0.21849,0.81861,of
12215,0.47095,0.234,0.7079,of
12216,0.361275,0.12255,0.6,of
12217,0.55489,0.29116,0.81862,of
12218,0.39743500000000004,0.12426,0.67061,of
12219,0.40567000000000003,0.17388,0.63746,of
12220,0.63388,0.41546,0.8523,of
12221,0.529975,0.28379,0.77616,of
12222,0.453455,0.19211,0.7148,of
12223,0.49866,0.26732,0.73,of
12224,0.57879,0.33072,0.82686,of
12225,0.483335,0.18143,0.78524,of
12226,0.42110000000000003,0.1441,0.6981,of
12227,0.502095,0.26455,0.73964,of
12228,0.462565,0.2149,0.71023,of
12229,0.43908,0.19686,0.6813,of
12230,0.42574999999999996,0.18319,0.66831,of
12231,0.271325,0.07242,0.47023,of
12232,0.436405,0.19946,0.67335,of
12233,0.367415,0.10943,0.6254,of
12234,0.548705,0.2874,0.81001,of
12235,0.51681,0.28538,0.74824,of
12236,0.44366,0.20499,0.68233,of
12237,0.49277,0.22315,0.76239,of
12238,0.47115,0.1693,0.773,of
12239,0.441225,0.20221,0.68024,of
12240,0.5589200000000001,0.30501,0.81283,of
12241,0.42396500000000004,0.16814,0.67979,of
12242,0.41951000000000005,0.18573,0.65329,of
12243,0.7446699999999999,0.58823,0.90111,of
12244,0.39565,0.14539,0.64591,of
12245,0.45905,0.18115,0.73695,of
12246,0.43942000000000003,0.17864,0.7002,of
12247,0.49579,0.18215,0.80943,of
12248,0.328425,0.11382,0.54303,of
12249,0.504635,0.26429,0.74498,of
12250,0.47075,0.22233,0.71917,of
12251,0.459875,0.1806,0.73915,of
12252,0.391745,0.16497,0.61852,of
12253,0.504235,0.22518,0.78329,of
12254,0.22034499999999999,0.05506,0.38563,of
12255,0.583685,0.33534,0.83203,of
12256,0.5649649999999999,0.30443,0.8255,of
12257,0.6912699999999999,0.49565,0.88689,of
12258,0.47977,0.24774,0.7118,of
12259,0.39188,0.12853,0.65523,of
12260,0.54867,0.30461,0.79273,of
12261,0.494085,0.22845,0.75972,of
12262,0.394185,0.1627,0.62567,of
12263,0.42414999999999997,0.20043,0.64787,of
12264,0.45761999999999997,0.20185,0.71339,of
12265,0.430965,0.18026,0.68167,of
12266,0.41896,0.16523,0.67269,of
12267,0.58307,0.32482,0.84132,of
12268,0.42826,0.16801,0.68851,of
12269,0.40832,0.14595,0.67069,of
12270,0.291555,0.08361,0.4995,of
12271,0.428495,0.18964,0.66735,of
12272,0.49522,0.23047,0.75997,of
12273,0.5365150000000001,0.31194,0.76109,of
12274,0.320615,0.10156,0.53967,of
12275,0.56723,0.30344,0.83102,of
12276,0.521485,0.24962,0.79335,of
12277,0.584145,0.35536,0.81293,of
12278,0.43226,0.2123,0.65222,of
12279,0.35519,0.14317,0.56721,of
12280,0.579325,0.25675,0.9019,of
12281,0.513585,0.2716,0.75557,of
12282,0.61618,0.40687,0.82549,of
12283,0.46487,0.20501,0.72473,of
12284,0.42286,0.18778,0.65794,of
12285,0.697275,0.4657,0.92885,of
12286,0.589005,0.29124,0.88677,of
12287,0.56099,0.3169,0.80508,of
12288,0.5612550000000001,0.31336,0.80915,of
12289,0.571205,0.33269,0.80972,of
12290,0.45582500000000004,0.12862,0.78303,of
12291,0.450685,0.22055,0.68082,of
12292,0.434645,0.16316,0.70613,of
12293,0.38380000000000003,0.15968,0.60792,of
12294,0.59407,0.35247,0.83567,of
12295,0.52413,0.27543,0.77283,of
12296,0.52071,0.22674,0.81468,of
12297,0.48411000000000004,0.19615,0.77207,of
12298,0.46554,0.2086,0.72248,of
12299,0.37949,0.16837,0.59061,of
12300,0.36705,0.13984,0.59426,of
12301,0.55262,0.26665,0.83859,of
12302,0.24901,0.05501,0.44301,of
12303,0.38703,0.13098,0.64308,of
12304,0.43483,0.20064,0.66902,of
12305,0.536995,0.29731,0.77668,of
12306,0.43615499999999996,0.16987,0.70244,of
12307,0.586005,0.32072,0.85129,of
12308,0.39631,0.17698,0.61564,of
12309,0.47170999999999996,0.18509,0.75833,of
12310,0.40535,0.16088,0.64982,of
12311,0.49677499999999997,0.22513,0.76842,of
12312,0.21147,0.05146,0.37148,of
12313,0.355595,0.11075,0.60044,of
12314,0.379025,0.11202,0.64603,of
12315,0.5186499999999999,0.16949,0.86781,of
12316,0.607805,0.37941,0.8362,of
12317,0.38322,0.16794,0.5985,of
12318,0.535635,0.28984,0.78143,of
12319,0.46277,0.18329,0.74225,of
12320,0.484995,0.21178,0.75821,of
12321,0.459765,0.20524,0.71429,of
12322,0.49017499999999997,0.25654,0.72381,of
12323,0.444535,0.20176,0.68731,of
12324,0.5963350000000001,0.35038,0.84229,of
12325,0.48458,0.19576,0.7734,of
12326,0.47629,0.2365,0.71608,of
12327,0.53483,0.30105,0.76861,of
12328,0.6148450000000001,0.31384,0.91585,of
12329,0.65706,0.40055,0.91357,of
12330,0.44797000000000003,0.20218,0.69376,of
12331,0.62352,0.40101,0.84603,of
12332,0.494425,0.26866,0.72019,of
12333,0.420545,0.18792,0.65317,of
12334,0.40792000000000006,0.13506,0.68078,of
12335,0.32939,0.05969,0.59909,of
12336,0.45064000000000004,0.15036,0.75092,of
12337,0.547145,0.31096,0.78333,of
12338,0.36799,0.12551,0.61047,of
12339,0.477165,0.22712,0.72721,of
12340,0.49958,0.26046,0.7387,of
12341,0.576055,0.30308,0.84903,of
12342,0.20209000000000002,0.0331,0.37108,of
12343,0.40734,0.17031,0.64437,of
12344,0.525305,0.22984,0.82077,of
12345,0.5181899999999999,0.3006,0.73578,of
12346,0.45053499999999996,0.19007,0.711,of
