match_id,prob,prob_min,prob_max,model
12115,0.38744999999999996,0.19502,0.57988,of_pk
12116,0.563805,0.38115,0.74646,of_pk
12117,0.534995,0.33325,0.73674,of_pk
12118,0.393185,0.1868,0.59957,of_pk
12119,0.40319000000000005,0.22279,0.58359,of_pk
12120,0.44226,0.24091,0.64361,of_pk
12121,0.7097549999999999,0.57117,0.84834,of_pk
12122,0.498725,0.30988,0.68757,of_pk
12123,0.474575,0.2782,0.67095,of_pk
12124,0.40864,0.23225,0.58503,of_pk
12125,0.500685,0.31876,0.68261,of_pk
12126,0.37803,0.18662,0.56944,of_pk
12127,0.498335,0.28716,0.70951,of_pk
12128,0.44081000000000004,0.24399,0.63763,of_pk
12129,0.5412399999999999,0.36346,0.71902,of_pk
12130,0.42323500000000003,0.22677,0.6197,of_pk
12131,0.314175,0.12573,0.50262,of_pk
12132,0.40959,0.22571,0.59347,of_pk
12133,0.434275,0.26017,0.60838,of_pk
12134,0.5137700000000001,0.30076,0.72678,of_pk
12135,0.4571,0.24893,0.66527,of_pk
12136,0.306305,0.13463,0.47798,of_pk
12137,0.47324,0.27632,0.67016,of_pk
12138,0.38437999999999994,0.18561,0.58315,of_pk
12139,0.44792,0.20697,0.68887,of_pk
12140,0.472475,0.24491,0.70004,of_pk
12141,0.44133500000000003,0.24101,0.64166,of_pk
12142,0.416165,0.20543,0.6269,of_pk
12143,0.372985,0.20154,0.54443,of_pk
12144,0.442165,0.26576,0.61857,of_pk
12145,0.46965,0.28935,0.64995,of_pk
12146,0.48451500000000003,0.2737,0.69533,of_pk
12147,0.542045,0.35186,0.73223,of_pk
12148,0.530685,0.33408,0.72729,of_pk
12149,0.501985,0.32121,0.68276,of_pk
12150,0.42769999999999997,0.24627,0.60913,of_pk
12151,0.48209,0.27964,0.68454,of_pk
12152,0.533,0.35823,0.70777,of_pk
12153,0.5074799999999999,0.30909,0.70587,of_pk
12154,0.4372,0.244,0.6304,of_pk
12155,0.481555,0.29986,0.66325,of_pk
12156,0.40654,0.20991,0.60317,of_pk
12157,0.47894500000000007,0.29421,0.66368,of_pk
12158,0.47207999999999994,0.27851,0.66565,of_pk
12159,0.46012,0.22718,0.69306,of_pk
12160,0.45165,0.25472,0.64858,of_pk
12161,0.461055,0.25394,0.66817,of_pk
12162,0.45923499999999995,0.22896,0.68951,of_pk
12163,0.34265,0.16867,0.51663,of_pk
12164,0.39869,0.21336,0.58402,of_pk
12165,0.39195,0.19225,0.59165,of_pk
12166,0.49376000000000003,0.28659,0.70093,of_pk
12167,0.478215,0.29372,0.66271,of_pk
12168,0.7101649999999999,0.56047,0.85986,of_pk
12169,0.46694,0.26929,0.66459,of_pk
12170,0.508495,0.29114,0.72585,of_pk
12171,0.420275,0.22127,0.61928,of_pk
12172,0.583965,0.39912,0.76881,of_pk
12173,0.41386,0.23348,0.59424,of_pk
12174,0.5153,0.30809,0.72251,of_pk
12175,0.352275,0.15869,0.54586,of_pk
12176,0.536145,0.35794,0.71435,of_pk
12177,0.52091,0.32753,0.71429,of_pk
12178,0.410285,0.19639,0.62418,of_pk
12179,0.443805,0.26131,0.6263,of_pk
12180,0.511015,0.31136,0.71067,of_pk
12181,0.461665,0.27727,0.64606,of_pk
12182,0.256795,0.08338,0.43021,of_pk
12183,0.584935,0.31452,0.85535,of_pk
12184,0.475915,0.2915,0.66033,of_pk
12185,0.479065,0.29269,0.66544,of_pk
12186,0.43077,0.1992,0.66234,of_pk
12187,0.518985,0.3512,0.68677,of_pk
12188,0.41322499999999995,0.19549,0.63096,of_pk
12189,0.545365,0.36878,0.72195,of_pk
12190,0.47507,0.25644,0.6937,of_pk
12191,0.620005,0.42451,0.8155,of_pk
12192,0.47157499999999997,0.28689,0.65626,of_pk
12193,0.4134,0.23324,0.59356,of_pk
12194,0.380075,0.19494,0.56521,of_pk
12195,0.55931,0.37212,0.7465,of_pk
12196,0.603245,0.3977,0.80879,of_pk
12197,0.43332499999999996,0.24472,0.62193,of_pk
12198,0.567025,0.38679,0.74726,of_pk
12199,0.47679,0.26388,0.6897,of_pk
12200,0.47639,0.28809,0.66469,of_pk
12201,0.411845,0.20308,0.62061,of_pk
