match_id,away_prob,away_prob_min,away_prob_max,model
12115,0.33625,0.16045,0.51205,of_to_sc
12116,0.20457,0.07997,0.32917,of_to_sc
12117,0.24548,0.09281,0.39815,of_to_sc
12118,0.350825,0.15491,0.54674,of_to_sc
12119,0.33926500000000004,0.15878,0.51975,of_to_sc
12120,0.315355,0.13884,0.49187,of_to_sc
12121,0.12733,0.01845,0.23621,of_to_sc
12122,0.263015,0.11161,0.41442,of_to_sc
12123,0.27477,0.11923,0.43031,of_to_sc
12124,0.335325,0.16895,0.5017,of_to_sc
12125,0.2673,0.11592,0.41868,of_to_sc
12126,0.34535000000000005,0.16497,0.52573,of_to_sc
12127,0.27157,0.10286,0.44028,of_to_sc
12128,0.306985,0.14294,0.47103,of_to_sc
12129,0.20897000000000002,0.0866,0.33134,of_to_sc
12130,0.31659,0.14246,0.49072,of_to_sc
12131,0.56027,0.2636,0.85694,of_to_sc
12132,0.309015,0.14774,0.47029,of_to_sc
12133,0.260965,0.12116,0.40077,of_to_sc
12134,0.251585,0.08956,0.41361,of_to_sc
12135,0.283335,0.11836,0.44831,of_to_sc
12136,0.391615,0.20062,0.58261,of_to_sc
12137,0.304955,0.12813,0.48178,of_to_sc
12138,0.34865,0.16193,0.53537,of_to_sc
12139,0.308985,0.11775,0.50022,of_to_sc
12140,0.305415,0.11182,0.49901,of_to_sc
12141,0.28442,0.12167,0.44717,of_to_sc
12142,0.31355,0.12308,0.50402,of_to_sc
12143,0.348925,0.17931,0.51854,of_to_sc
12144,0.26503,0.11215,0.41791,of_to_sc
12145,0.281535,0.12465,0.43842,of_to_sc
12146,0.28585,0.1104,0.4613,of_to_sc
12147,0.213725,0.07866,0.34879,of_to_sc
12148,0.239105,0.08701,0.3912,of_to_sc
12149,0.226165,0.08834,0.36399,of_to_sc
12150,0.289695,0.1228,0.45659,of_to_sc
12151,0.277865,0.11536,0.44037,of_to_sc
12152,0.20748,0.08911,0.32585,of_to_sc
12153,0.273655,0.10636,0.44095,of_to_sc
12154,0.31143,0.14559,0.47727,of_to_sc
12155,0.259035,0.11672,0.40135,of_to_sc
12156,0.30637000000000003,0.13728,0.47546,of_to_sc
12157,0.264415,0.11809,0.41074,of_to_sc
12158,0.248355,0.10816,0.38855,of_to_sc
12159,0.30856,0.11313,0.50399,of_to_sc
12160,0.30127,0.1362,0.46634,of_to_sc
12161,0.306505,0.13038,0.48263,of_to_sc
12162,0.310665,0.11646,0.50487,of_to_sc
12163,0.35795000000000005,0.17505,0.54085,of_to_sc
12164,0.35612499999999997,0.17184,0.54041,of_to_sc
12165,0.331285,0.14525,0.51732,of_to_sc
12166,0.28009,0.11032,0.44986,of_to_sc
12167,0.253345,0.09913,0.40756,of_to_sc
12168,0.12861,0.01457,0.24265,of_to_sc
12169,0.28836,0.11907,0.45765,of_to_sc
12170,0.26842499999999997,0.09421,0.44264,of_to_sc
12171,0.3169,0.14717,0.48663,of_to_sc
12172,0.21788999999999997,0.07601,0.35977,of_to_sc
12173,0.319695,0.15244,0.48695,of_to_sc
12174,0.227055,0.07954,0.37457,of_to_sc
12175,0.35984,0.15944,0.56024,of_to_sc
12176,0.241095,0.09829,0.3839,of_to_sc
12177,0.22480999999999998,0.08752,0.3621,of_to_sc
12178,0.31015000000000004,0.14022,0.48008,of_to_sc
12179,0.30578,0.14466,0.4669,of_to_sc
12180,0.259215,0.10135,0.41708,of_to_sc
12181,0.251655,0.10877,0.39454,of_to_sc
12182,0.618235,0.32159,0.91488,of_to_sc
12183,0.240995,0.04696,0.43503,of_to_sc
12184,0.29479,0.13212,0.45746,of_to_sc
12185,0.27191,0.12069,0.42313,of_to_sc
12186,0.31676,0.12462,0.5089,of_to_sc
12187,0.23542,0.1035,0.36734,of_to_sc
12188,0.33547499999999997,0.13599,0.53496,of_to_sc
12189,0.20988500000000002,0.08472,0.33505,of_to_sc
12190,0.29413,0.11136,0.4769,of_to_sc
12191,0.19886,0.02704,0.37068,of_to_sc
12192,0.2619,0.11758,0.40622,of_to_sc
12193,0.30779500000000004,0.15092,0.46467,of_to_sc
12194,0.333165,0.16332,0.50301,of_to_sc
12195,0.22279,0.08352,0.36206,of_to_sc
12196,0.21286000000000002,0.02794,0.39778,of_to_sc
12197,0.29094,0.1341,0.44778,of_to_sc
12198,0.204945,0.07832,0.33157,of_to_sc
12199,0.29972,0.11308,0.48636,of_to_sc
12200,0.243265,0.10538,0.38115,of_to_sc
12201,0.310145,0.12619,0.4941,of_to_sc
12202,0.30352999999999997,0.13115,0.47591,of_to_sc
12203,0.32597,0.12444,0.5275,of_to_sc
12204,0.31079,0.1429,0.47868,of_to_sc
12205,0.25333,0.11006,0.3966,of_to_sc
12206,0.312345,0.13799,0.4867,of_to_sc
12207,0.31331,0.11907,0.50755,of_to_sc
12208,0.33591499999999996,0.16007,0.51176,of_to_sc
12209,0.26774,0.10455,0.43093,of_to_sc
12210,0.69072,0.44227,0.93917,of_to_sc
12211,0.35889,0.17528,0.5425,of_to_sc
12212,0.25393,0.11045,0.39741,of_to_sc
12213,0.26972,0.1293,0.41014,of_to_sc
12214,0.274115,0.07414,0.47409,of_to_sc
12215,0.26570499999999997,0.12001,0.4114,of_to_sc
12216,0.370565,0.17709,0.56404,of_to_sc
12217,0.21336999999999998,0.07397,0.35277,of_to_sc
12218,0.34831,0.14988,0.54674,of_to_sc
12219,0.325265,0.16101,0.48952,of_to_sc
12220,0.19633499999999998,0.03045,0.36222,of_to_sc
12221,0.26234999999999997,0.09814,0.42656,of_to_sc
12222,0.29642,0.12373,0.46911,of_to_sc
12223,0.279755,0.11976,0.43975,of_to_sc
12224,0.19752999999999998,0.07046,0.3246,of_to_sc
12225,0.30671000000000004,0.08928,0.52414,of_to_sc
12226,0.329745,0.13369,0.5258,of_to_sc
12227,0.24614,0.10967,0.38261,of_to_sc
12228,0.303285,0.13147,0.4751,of_to_sc
12229,0.30034,0.13694,0.46374,of_to_sc
12230,0.324875,0.14904,0.50071,of_to_sc
12231,0.60836,0.31834,0.89838,of_to_sc
12232,0.276725,0.12918,0.42427,of_to_sc
12233,0.328095,0.15718,0.49901,of_to_sc
12234,0.24689,0.07962,0.41416,of_to_sc
12235,0.250355,0.10853,0.39218,of_to_sc
12236,0.296385,0.14026,0.45251,of_to_sc
12237,0.240985,0.09072,0.39125,of_to_sc
12238,0.30029500000000003,0.10011,0.50048,of_to_sc
12239,0.31092,0.14125,0.48059,of_to_sc
12240,0.23646,0.07899,0.39393,of_to_sc
12241,0.313495,0.13052,0.49647,of_to_sc
12242,0.32191000000000003,0.15396,0.48986,of_to_sc
12243,0.11441,0.01504,0.21378,of_to_sc
12244,0.35734,0.16096,0.55372,of_to_sc
12245,0.281405,0.11377,0.44904,of_to_sc
12246,0.324855,0.13293,0.51678,of_to_sc
12247,0.30265,0.07837,0.52693,of_to_sc
12248,0.38572,0.20116,0.57028,of_to_sc
12249,0.256675,0.10819,0.40516,of_to_sc
12250,0.28637,0.12184,0.4509,of_to_sc
12251,0.276925,0.11303,0.44082,of_to_sc
12252,0.33902499999999997,0.16989,0.50816,of_to_sc
12253,0.23045,0.08613,0.37477,of_to_sc
12254,0.668865,0.40472,0.93301,of_to_sc
12255,0.210075,0.06973,0.35042,of_to_sc
12256,0.205675,0.07038,0.34097,of_to_sc
12257,0.14989999999999998,0.02262,0.27718,of_to_sc
12258,0.28728,0.12724,0.44732,of_to_sc
12259,0.312835,0.14361,0.48206,of_to_sc
12260,0.24298,0.08866,0.3973,of_to_sc
12261,0.287945,0.10467,0.47122,of_to_sc
12262,0.35126,0.1628,0.53972,of_to_sc
12263,0.332145,0.15839,0.5059,of_to_sc
12264,0.30034,0.1269,0.47378,of_to_sc
12265,0.3045,0.13659,0.47241,of_to_sc
12266,0.34673,0.14905,0.54441,of_to_sc
12267,0.19963499999999998,0.06287,0.3364,of_to_sc
12268,0.34384,0.14015,0.54753,of_to_sc
12269,0.348675,0.14574,0.55161,of_to_sc
12270,0.586725,0.28421,0.88924,of_to_sc
12271,0.304885,0.14528,0.46449,of_to_sc
12272,0.26421,0.09982,0.4286,of_to_sc
12273,0.225575,0.09951,0.35164,of_to_sc
12274,0.390585,0.20279,0.57838,of_to_sc
12275,0.2079,0.068,0.3478,of_to_sc
12276,0.248475,0.08853,0.40842,of_to_sc
12277,0.21086500000000002,0.07763,0.3441,of_to_sc
12278,0.32939999999999997,0.15874,0.50006,of_to_sc
12279,0.38034,0.19598,0.5647,of_to_sc
12280,0.21966,0.03902,0.4003,of_to_sc
12281,0.291355,0.10799,0.47472,of_to_sc
12282,0.201795,0.0427,0.36089,of_to_sc
12283,0.298425,0.11717,0.47968,of_to_sc
12284,0.28363499999999997,0.13526,0.43201,of_to_sc
12285,0.16459500000000002,0.01278,0.31641,of_to_sc
12286,0.22696,0.04571,0.40821,of_to_sc
12287,0.21302000000000001,0.08005,0.34599,of_to_sc
12288,0.23079500000000003,0.08035,0.38124,of_to_sc
12289,0.20690999999999998,0.07842,0.3354,of_to_sc
12290,0.31677,0.08906,0.54448,of_to_sc
12291,0.29161499999999996,0.13893,0.4443,of_to_sc
12292,0.289155,0.12269,0.45562,of_to_sc
12293,0.35280500000000004,0.18042,0.52519,of_to_sc
12294,0.19644499999999998,0.06714,0.32575,of_to_sc
12295,0.242925,0.09478,0.39107,of_to_sc
12296,0.27708,0.07829,0.47587,of_to_sc
12297,0.261815,0.09389,0.42974,of_to_sc
12298,0.252525,0.10831,0.39674,of_to_sc
12299,0.375495,0.19561,0.55538,of_to_sc
12300,0.34689,0.17223,0.52155,of_to_sc
12301,0.25648,0.06625,0.44671,of_to_sc
12302,0.6157600000000001,0.34294,0.88858,of_to_sc
12303,0.342225,0.15405,0.5304,of_to_sc
12304,0.30272,0.14513,0.46031,of_to_sc
12305,0.237425,0.09347,0.38138,of_to_sc
12306,0.32660500000000003,0.13046,0.52275,of_to_sc
12307,0.20254,0.06039,0.34469,of_to_sc
12308,0.36510499999999996,0.18141,0.5488,of_to_sc
12309,0.29283,0.09745,0.48821,of_to_sc
12310,0.32243,0.14872,0.49614,of_to_sc
12311,0.280595,0.09788,0.46331,of_to_sc
12312,0.66977,0.40825,0.93129,of_to_sc
12313,0.363135,0.17526,0.55101,of_to_sc
12314,0.31147,0.14732,0.47562,of_to_sc
12315,0.28614999999999996,0.05468,0.51762,of_to_sc
12316,0.21324,0.03438,0.3921,of_to_sc
12317,0.350415,0.18011,0.52072,of_to_sc
12318,0.22666999999999998,0.09056,0.36278,of_to_sc
12319,0.26259,0.10924,0.41594,of_to_sc
12320,0.24161,0.09894,0.38428,of_to_sc
12321,0.309905,0.12671,0.4931,of_to_sc
12322,0.28197,0.12104,0.4429,of_to_sc
12323,0.308195,0.13891,0.47748,of_to_sc
12324,0.193555,0.06446,0.32265,of_to_sc
12325,0.290485,0.09984,0.48113,of_to_sc
12326,0.296195,0.12677,0.46562,of_to_sc
12327,0.21576499999999998,0.09391,0.33762,of_to_sc
12328,0.187855,0.03307,0.34264,of_to_sc
12329,0.204315,0.01626,0.39237,of_to_sc
12330,0.317265,0.13908,0.49545,of_to_sc
12331,0.18369,0.06215,0.30523,of_to_sc
12332,0.25978,0.11672,0.40284,of_to_sc
12333,0.306735,0.14797,0.4655,of_to_sc
12334,0.32514,0.14138,0.5089,of_to_sc
12335,0.409415,0.17299,0.64584,of_to_sc
12336,0.322315,0.10713,0.5375,of_to_sc
12337,0.225075,0.08954,0.36061,of_to_sc
